AJU,0:00,0:32,C1 - precisou de ajuda para fazer o match ,,C1
PPR,0:35,0:40,C1 - Não sabe como agir,,
AJU,0:42,1:20,C1 - precisou de ajuda para fazer o match ,,
CON,1:21,1:34,QUIZ,,
AJU,1:35,1:43,QUIZ,,
,,,,,
AJU,2:28,3:05,TECLADO DE CARTÕES,,
PAS,3:06,3:09,TECLADO DE CARTÕES,,
AJU,3:10,3:49,TECLADO DE CARTÕES,,
PAS,3:50,4:00,TECLADO DE CARTÕES,,
AJU/IMP,4:01,4:46,TECLADO DE CARTÕES,,
,,,,,
ACP,5:00,5:18,QUIZ,,
AJU,5:20,5:31,QUIZ,,
,,,,,
ACE,6:42,6:45,C2,,
IMP,6:55,7:01,C2,,
ACX,8:12,8:17,C2,,
AJU,8:18,8:29,C2,,
ANT,8:45,8:55,C2,,
IMP,9:03,9:10,C2,,
RAN / IMP,9:38,10:24,C2,,
ACX,11:40,11:49,C2,,
,,,,,
AJU,12:35,12:48,C3,,
IMP,12:49,13:00,C3,,
AJU,13:28,13:31,C3,,
ACE,13:50,13:52,C3,,
CON,13:54,14:00,C3,,
ACE,14:21,14:35,C3,,
ACE,14:47,14:59,C3,,
AJU,15:00,15:08,C3,,
,,,,,
TED,20:27,20:30,C4,,
ACE,21:37,21:40,C4,,
,,,,,
CON/PAS,22:40,20:48,C5,,
AJU,22:49,22:59,C5,,
CON,23:00,23:10,C5,,
AJU,23:11,,C5,,
ACE,23:14,23:23,C5,,
AJU,23:24,23:30,C5,,
ACE,23:53,24:00,C5,,
ACE,24:19,24:34,C5,,
,,,,,
,ACERTOU TUDO,,C6,,
